因子,总收益率,年化收益率,最大回撤,夏普比率,索提诺比率,卡玛比率,年化波动率,Alpha,Beta,总交易次数
Alpha150,-0.2070829997036958,-0.03381121345934368,0.2820114837342745,-0.8552356826028986,-1.2286431758367362,-0.11989303772892568,0.07461243111972958,-0.024103906295960154,0.22836770046427293,4559
Alpha070,-0.722120720455977,-0.17289650699873516,0.7239618457231484,-1.2036473336149047,-1.6286338162248226,-0.23881991574574338,0.1685680691780188,-0.16318919983535163,0.5872142264355399,12150
Alpha158,-0.7495545832974502,-0.18554319220175786,0.8413420106597249,-1.216751222915661,-1.5166761021957482,-0.22053242302291207,0.17714647673438025,-0.17583588503837433,0.438821070517334,19275
Alpha018,0.9008758057330115,0.09989389160029916,0.8327174869990107,0.31351015326453835,0.4242577980786382,0.11996132320975005,0.22293980233974442,0.10960119876368268,0.5265982800072518,23052
Alpha020,0.28342942821671535,0.037682647293519,0.8141983628104541,0.035106021735503305,0.047702145401967634,0.04628190010533286,0.2188412959862499,0.04738995445690253,0.5339550932326481,22300
Alpha019,0.9008758057330115,0.09989389160029916,0.8327174869990107,0.31351015326453835,0.4242577980786382,0.11996132320975005,0.22293980233974442,0.10960119876368268,0.5265982800072518,23052
Alpha009,-0.6526758018022141,-0.1450893568271494,0.6804010776951384,-1.5695427426139372,-1.6979714847930822,-0.2132409274227493,0.11155437317721802,-0.13538204966376588,0.21961480491591676,9256
Alpha046,0.43690040343020087,0.05520341542766949,0.5558234645475015,0.08200559237291388,0.10011300775900342,0.09931825291436885,0.3073377643936644,0.06491072259105302,0.920865851161559,26644
Alpha003,0.03178784747172125,0.004649513296786534,0.5695185151912772,-0.22118527478551264,-0.2590858799880079,0.008163937032363134,0.11461199995251171,0.014356820460170061,0.2193094262008358,10234
Alpha012,3.4459397074460307,0.24753020704281647,0.6365934224075863,1.119016345271515,1.4345707382723023,0.38883563406398564,0.19439412834495778,0.2572375142062,0.5815363172083042,23979
