alpha,coverage,ic_mean,ic_std,ic_ir,ic_pos_ratio,mean,std
25,0.9462390340361597,0.03134098790128038,0.1523320514247627,0.20574125804876853,0.594296824368114,0.500745170868066,0.28857764205414393
18,0.9493088188954802,0.02932150462149899,0.14587164191866867,0.20100894345075868,0.5852713178294574,-0.5007451665199424,0.2886748159020714
54,0.9522763080379772,0.029279505031612345,0.143950972447786,0.2033991471800069,0.5940721649484536,-0.44874034310862954,0.2624736247267866
33,0.9522763080379772,0.02716083034654976,0.16916234471023037,0.16056073467813056,0.5766752577319587,0.5007447626830256,0.28867481557280095
40,0.9499764811186767,0.02523343673345429,0.13815800822677318,0.18264186822986048,0.5729974160206718,-0.18247155233321338,0.24123697930576257
38,0.9493298260516136,0.024108866540657563,0.16711161169840447,0.14426805112841687,0.5555555555555556,-0.29163177054237566,0.26750681755064504
88,0.6001269562914149,0.02402781954678547,0.1283726077840554,0.18717248143158668,0.5774086378737542,0.4034902246220094,0.24111276569583148
69,0.9438031172792992,0.023066493618768585,0.15416461511016022,0.1496224902341315,0.5549057829759584,-0.6687345939867364,0.2686289803803845
94,0.8092815095925069,0.022922720322996186,0.1663707524265313,0.1377809500087389,0.559445178335535,-0.6260675645837567,0.2665324866208952
101,0.9522763080379772,-0.022702941721355854,0.15942338030468964,-0.1424066010767432,0.43105670103092786,-0.018131228390303813,0.5213891350657437
28,0.9455677183945053,0.022327215503585948,0.13547875325546518,0.1648023396073382,0.5635538261997406,9.120410626652895e-05,0.00740896647819797
24,0.9500943038639467,0.022199192545093026,0.14103254017211606,0.15740475579608182,0.5648805681084571,-18.435130351606624,131.3851296519565
37,0.8877980390276426,0.02161818801701693,0.12821509388773047,0.16860876018190615,0.5564738292011019,1.0016154660083885,0.4095087517038396
60,0.9493298260516136,0.021162200536699347,0.1437626315651713,0.14720237315011847,0.5768733850129198,-0.00148944537129041,0.001823235873707107
9,0.951446982048015,0.019948884671224975,0.14227002269312203,0.14021846832944515,0.574468085106383,-0.09567325137802801,41.625916085223736
84,0.9396537472656447,0.019773031725640756,0.15504871444932525,0.12752786629587437,0.5439167208848406,inf,inf
100,0.9399496741607413,0.019549681760246,0.12507318762852357,0.15630593679526242,0.5689206762028609,-0.0032645891892347048,0.005353591283098104
19,0.8709457330355798,0.01950898932170618,0.15295892014405912,0.12754397915029936,0.5466012613875263,0.015078083003640412,1.521567172615678
53,0.9455202239545515,0.019134054749958218,0.13668276691598544,0.13998878704086606,0.5612443292287751,6260233.362764409,146083286874.11526
16,0.9519548072136748,0.01805100508883071,0.08510086408091402,0.21211306470011618,0.5880077369439072,-0.5007445344836517,0.2886737072302664
34,0.9506176560580528,0.018035246605759052,0.12768947459889496,0.14124301679846626,0.5561290322580645,0.5007451013549218,0.2886745146271545
13,0.9519548072136748,0.016948493875870316,0.08493789471348825,0.19953983946789386,0.5699548678272083,-0.5007445344836517,0.2886734908629773
1,0.9510204454430455,-0.01655124358246435,0.125024061749728,-0.13238446544471158,0.43649258542875563,0.0007452659763992707,0.2725744020290379
15,0.9431308882830304,0.016484480411232308,0.07235163462903464,0.22783839640600326,0.5938104448742747,-1.4673339460256187,0.6294819927172058
87,0.9160435304809269,0.016148812115246908,0.10003417517570322,0.161432951157768,0.5674232309746329,-0.6977618015078471,0.258062250691882
26,0.9401679659136057,0.015880093346909676,0.10397795176123678,0.1527255834330621,0.5632258064516129,-0.45363537655023034,0.33399706445395116
17,0.9452416507971303,0.015825851721162434,0.13906307545075627,0.1138034066186501,0.5460440985732814,-0.14195841098667808,0.18113075752489852
83,0.94991619971412,0.015598550640447998,0.12939661614808143,0.12054836598352019,0.5558424790187217,1267985.0755091829,71750732.14834048
4,0.9500659898708973,0.01516412027137798,0.14612949007657539,0.10377180036303155,0.5384118786313751,-0.5337951115101821,0.3220840256435886
44,0.9516488334178186,0.01498805463086151,0.092021348504208,0.16287584212239758,0.559638942617666,-0.2838800462817119,0.4134178281248152
10,0.951446982048015,0.014620352115956562,0.13409859442950037,0.10902688561469537,0.5609284332688588,0.5007449318713727,0.28866820671115506
42,0.9522763080379772,0.014428654017815888,0.15847971885357193,0.09104416717919162,0.5335051546391752,6.099167782945983,32.54658587129047
41,0.9522763080379772,-0.014209909399841278,0.15836294082241992,-0.08973001717476023,0.4677835051546392,294.02309025225384,1304.7421979355615
5,0.9493298260516136,0.014171891545880428,0.1586624388229811,0.08932102425131595,0.5316537467700259,-0.33411452464297847,0.29856535173097754
56,0.9484502655578542,0.014042407521095188,0.12071883394642487,0.11632325348111978,0.5539754363283775,-0.2523288308236689,0.22396476598689813
55,0.9474784562480306,0.013897459203078492,0.07933793709086297,0.17516789209129824,0.573462783171521,-0.32562154936068627,128.3299779273203
30,0.9458864791549643,0.013748261369111165,0.12472079017641291,0.11023231451360083,0.541153596889177,0.12414167285073982,0.07791396244651555
39,0.8703447456992415,0.013521451818566248,0.16321440852946567,0.08284471904406143,0.5332866152768044,-0.7611447392079611,0.49351860425811184
50,0.948816520758267,0.013505373063201891,0.08055136111367509,0.16766163695412845,0.5651612903225807,-0.7345334152240044,0.22046589805203
29,0.946608029300416,0.013417924826033519,0.14709663911177234,0.09121843236566282,0.5284974093264249,0.9463168135743271,0.38466352454093455
35,0.9413087458271111,0.012820506605127933,0.1376002501344949,0.09317211700267085,0.5260756192959583,0.11424099010968766,0.15809100592141392
67,0.9449101030720682,0.01235063901682282,0.10947554768950919,0.11281641679337635,0.5567813108371188,-0.7088798247035991,0.22435084665488064
65,1.0,0.01219228705486751,0.10993448995169461,0.11090502225666231,0.5342555994729907,-0.48163928886209717,0.4996627705628171
14,0.9490174587734561,0.012171549107371116,0.10990214092514704,0.11074897181175937,0.560077519379845,-0.0705548039424565,0.22421630241995535
61,1.0,0.012147971675745784,0.11841973695332796,0.10258401165452335,0.5505154639175258,0.45035597996099974,0.49752936724817304
52,0.8741095934201933,0.01214350548577481,0.15387684676535848,0.0789170413940963,0.5321229050279329,-0.17439626990868273,35.04673278981236
77,0.9317185223749047,-0.01164827682958597,0.12895340209690423,-0.09032934874283251,0.46496398166339226,0.33449868064420507,0.23540747058158087
6,0.9499819612463637,0.011558348026909568,0.114602209612018,0.10085624060862329,0.5406976744186046,-0.13929630630811993,0.3789286001388733
76,0.9001529868979281,0.011488075836584255,0.11160195397439615,0.10293794532683417,0.5565335138794855,-0.6935994885892796,0.2720509729909269
23,0.999795408566353,0.011042547713972579,0.11801337068372586,0.09357031029616507,0.5430978613091381,-2.1405800349155566,51.72355596555249
80,0.9468929959401388,0.010973232305975066,0.11583368083835087,0.09473265656893454,0.5372168284789643,-0.6716210066442196,0.22296657715829246
27,1.0,0.01092355901262939,0.07534119691374165,0.14498786135738995,0.555483870967742,0.05051125024546405,0.9987234920630637
46,0.9515456243463806,0.01092183923846264,0.12546597429394976,0.08705020863165858,0.5222437137330754,0.16023581944569765,3.9297027713987895
57,0.9425216807551616,0.010668102929301808,0.15785240398664965,0.06758277137295965,0.5211450878334418,-1115.7608186810264,8004.177060326168
79,1.0,0.010457075025375441,0.087779730046831,0.11912858492269833,0.5418652144315861,0.36663058915939406,0.4818844262393522
8,0.9438990195138214,0.010357073132296044,0.14621874394030132,0.07083273220104164,0.5123376623376623,-0.5007455667565281,0.2886748155593628
49,0.9514981299064268,0.010100193054876803,0.1387023040818099,0.07281921610270779,0.5235332043842682,-0.36244743041116884,32.23575338884395
36,0.8874272170541574,0.0100513212144478,0.10059252490303297,0.09992115442113475,0.5498967653131452,2.6232279296298855,0.793432341988084
7,0.9912802034954081,-0.010037509896519001,0.0940458671349127,-0.10672994148822912,0.4472295514511873,-0.7068260899617127,0.5390074966748192
51,0.9515008699702703,0.010024798059612707,0.13484944264414975,0.07434067107023092,0.5235332043842682,-0.32396067251251487,32.23374262652319
3,0.9484146447278888,0.008985902336968915,0.07660597814312294,0.1173002754456128,0.5503875968992248,-0.10828244974284273,0.36444270545171376
2,0.9496239262374814,0.008960875402413991,0.08176074692606261,0.10959874682306213,0.5490956072351422,-0.10687145801513194,0.4228473236850777
73,0.9435345910226375,0.008934457876068627,0.1412993331305776,0.06323071509341174,0.5152498377676833,-0.721661895428267,0.2104518428507153
70,0.9258246450475629,0.008880454137177734,0.12814290524308913,0.06930117684105391,0.541005291005291,-0.6954026371622071,0.27566796479513656
90,0.9391486621638284,0.008650198047380576,0.15911374747798235,0.054364869060591785,0.5150130548302873,-0.6226889308585745,0.2662452798091602
68,1.0,0.008474655643709075,0.08803173742163062,0.09626818567852932,0.5484710474951203,-0.43361327652267634,0.4955732064447647
12,0.951446982048015,0.007871711887004928,0.0854395447047811,0.09213195030713262,0.5525467440361057,-1.3741132046853906,41.603339483761665
66,0.943419508341211,0.0074434784682517055,0.11848589446718048,0.06282164220242674,0.5304798962386511,-1.0440739599226205,0.43117255167812385
71,0.694884757481516,-0.007313460801639967,0.12458310047679227,-0.058703474015742135,0.4798611111111111,0.7604709416100807,0.2970573331686556
95,1.0,0.007311581441555129,0.08993213227249582,0.08130110180642576,0.5254125412541254,0.4971106026770424,0.4999916513134096
74,1.0,0.007194867140008417,0.07986473471888399,0.09008816175667073,0.5471947194719472,-0.4695254666100387,0.49907043873051044
92,0.9254026752156659,0.006957967489342191,0.08654491347658247,0.08039718580601382,0.5442043222003929,0.33428716771997896,0.2788148406147763
86,1.0,0.006419120120052117,0.10815090100102377,0.05935336701440289,0.526867627785059,-0.44448128308056245,0.49690811230208287
62,1.0,0.006342418481507646,0.08392151905162279,0.07557559197190203,0.540876389797253,-0.47543121754736883,0.49939601012502616
45,0.9107570339722248,0.006218183224052904,0.07418453442752694,0.08382047918798534,0.5396618985695709,-0.02148200472375673,0.16697600438559432
48,0.8708680978933476,-0.005979752723310999,0.07009656226415456,-0.08530736073442048,0.48106591865357645,0.0002639487854852757,0.019425238919506246
89,0.937348440218657,0.005752702031658325,0.10902360603024407,0.05276565544954069,0.5436766623207301,0.09559289539229035,0.44353494879086325
72,0.9050860151708201,0.0056128526093839354,0.09236174553459416,0.06077031759086491,0.5312294543063774,2.941528856696879,14.900860064100842
31,0.9365812223424805,0.005559325648521606,0.12136004306973398,0.04580853391199931,0.5172863666014351,1.255248294512539,1.0399710405777363
59,0.9380626835271928,0.005343690647444077,0.09105248139639338,0.05868802876640485,0.5283757338551859,-0.5889403186429288,0.35217011145483956
63,0.871001447667064,0.005249073464650717,0.13363103527234294,0.039280347218391236,0.5185444366689993,-3.815901574968405e-05,0.4053652316634392
82,0.9377612765044092,0.004709925121909127,0.12671459694282303,0.037169554538648536,0.5182529335071708,-0.3292667575529172,0.2659330823623567
81,1.0,0.004436380824355107,0.0721764727340158,0.06146574716534049,0.5189117451891174,-0.4628862919172683,0.4986206701214359
75,1.0,0.004280009774891499,0.0691380746935868,0.06190524965961352,0.5403808273145109,0.46305891593940807,0.4986334889559948
21,1.0,0.003882691102923941,0.10069325362838527,0.03855959523617396,0.4974160206718346,-0.222019153046266,0.9750423045594578
47,0.9457924036296712,0.0037423428128154647,0.16371989555640523,0.022858204252433952,0.5029163966299417,-0.3098725847648602,0.32000984381162806
91,0.9355737922026917,0.0034272911658943745,0.08509232637315318,0.040277323608062646,0.5160235448005233,-0.1154397625161867,0.4432521683985066
20,0.951446982048015,-0.003140317368639002,0.12319824635185733,-0.02548995185913747,0.4796905222437137,-0.13899577514176295,0.17600248653035402
64,1.0,0.0031307491767738845,0.11162855509134667,0.028046131872010382,0.5057393652937204,-0.452953560484626,0.49778171172605995
58,0.9449429838381901,0.002834109813629727,0.08457386015798264,0.03351047011849352,0.5142671854734111,-0.6054406517266987,0.3421793681241427
43,0.9394528092504555,0.0025959917998489746,0.11475282068840525,0.022622466134388244,0.49869621903520206,0.2720426415569158,0.23996117715798276
11,0.949908892877204,0.0025739905036051766,0.12179301148085554,0.02113413957261233,0.5016139444803098,0.49943353145208486,0.4551289114140423
93,0.9045745365867025,0.0023655534979860585,0.12267851653477992,0.019282540780605324,0.5080862533692723,3.875337642726182,21.887240297779382
32,0.8753334886036178,-0.0018254481024370683,0.1282331582034347,-0.01423538286050085,0.48639218422889047,0.029084533329918266,0.012548408235975028
78,0.9299411342950957,0.0018176747961742702,0.08744453843675816,0.020786601755452723,0.5170827858081471,0.6945998862260442,0.2593699369042829
96,0.2521635087430871,0.0016545633421576696,0.09063371490621522,0.018255495141843818,0.5106809078771696,-0.7462283907734132,0.2826584684818278
97,0.1420832705402036,0.0015976632028188273,0.15211673157028355,0.010502876220954353,0.5107382550335571,0.09959954914948765,0.4510107599592653
98,0.9319212870993228,-0.001446537144636545,0.08072792334965441,-0.01791867156511883,0.499672131147541,0.00017212646583583089,0.42391060645675094
99,1.0,0.0013213463823667033,0.08634207494754066,0.015303620895948136,0.5029781601588352,-0.4688340571668653,0.499027738715316
22,0.946187886177748,-0.0006881328743893278,0.08275733140916268,-0.008315068437708704,0.4867141931302657,0.00018530294912662236,0.3138442223624003
85,0.9245185479488339,-4.2915353780125534e-05,0.09399094873887176,-0.0004565902818935699,0.5078226857887875,0.7002784738430852,0.24579640508045905
